series,title,summary,overall_design,relation,n_samples,platform_id,is_superseries
GSE35640,Identification of a predictive gene signature to recMAGE A3 antigen-specific cancer immunotherapy in metastatic melanoma and non-small-cell lung cancer,"Purpose:  To evaluate the presence of a gene expression signature present before treatment as predictive of response to treatment with MAGE‑A3
immunotherapeutic in metastatic melanoma patients and to validate its predictivity in adjuvant therapy of early-stage lung cancer.","Patients were participants in two Phase II studies of the recombinant MAGE‑A3 antigen combined with immunological adjuvants.  mRNA from tumor samples (biopsies) collected before MAGE-A3 immunotherapy was analyzed by microarray hybridization and by quantitative polymerase chain reaction (qRT-PCR).  The melanoma microarray dataset was used to discover and crossvalidate a gene expression signature and classifier discriminative of Responders (R) versus Non-Responders (NR) patients; the gene signature and classifier were then applied to an adjuvant lung cancer study. Patients that were not included for analysis are denoted as NE (Non-evaluable).
GSK Biologicals",,65,GPL570,0
GSE59745,Identification of novel long non-coding RNAs in prostate cancers,"Long non-coding RNAs show highly tissue and disease specific expression profiles. We analyzed prostate cancer and normal adjacent prostate samples to identify cancer-specific transcripts and found 334 candidates, of which 15 were validated by RT-PCR.","8 Prostate cancer samples from radical prostatectomies, 12 samples from normal adjacent prostate, 12 samples from lymph node metastasis and 10 samples from transurethral resection of the prostrate were included in this study. These samples contained more than 70% cancer and less than 30% stromal tissue.",,42,GPL5175,0
GSE41408,Co-expression of genes with ERG in prostate cancers,"ERG overexpression is the most frequent molecular alteration in prostate cancer. We analyzed different stages of prostate cancer to identify genes that were coexpressed with ERG overexpression. In primary prostate tumors, it was shown that TDRD1 expression was the strongest correlated gene with ERG overexpression and we suggest TDRD1 as a direct ERG target gene.",48 Prostate cancer samples from radical prostatectomies were included in this study. These samples contained more than 70% cancer and less than 30% stromal tissue. Each sample was analyzed once.,SubSeries of: GSE41410,48,GPL5175,0
GSE25066,Genomic predictor of response and survival following neoadjuvant taxane-anthracycline chemotherapy in breast cancer,This SuperSeries is composed of the SubSeries listed below.,"Refer to individual Series
","SuperSeries of: GSE25055
SuperSeries of: GSE25065",508,GPL96,1
GSE68465,"caArray_jacob-00182: Gene expression-based survival prediction in lung adenocarcinoma: a multi-site, blinded validation study","Here we report a large, training*testing, multi-site, blinded validation study to characterize the performance of several prognostic models based on gene expression for 442 lung adenocarcinomas. The hypotheses proposed examined whether microarray measurements of gene expression either alone or combined with basic clinical covariates (stage, age, sex) could be used to predict overall survival in lung cancer subjects. Several models examined produced risk scores that substantially correlated with actual subject outcome. Most methods performed better with clinical data, supporting the combined use of clinical and molecular information when building prognostic models for early-stage lung cancer. This study also provides the largest available set of microarray data with extensive pathological and clinical annotation for lung adenocarcinomas.","jacob-00182
Assay Type: Gene Expression
Provider: Affymetrix
Array Designs: HG-U133A
Organism: Homo sapiens (ncbitax)
Material Types: cell, synthetic_RNA, organism_part, whole_organism, total_RNA
Disease States: Lung Adenocarcinoma",,462,GPL96,0
GSE25055,Discovery cohort for genomic predictor of response and survival following neoadjuvant taxane-anthracycline chemotherapy in breast cancer,"PURPOSE: To develop a predictive test for response and survival following neoadjuvant taxane-anthracycline chemotherapy for HER2-negative invasive breast cancer.
METHODS: We developed a microarray-based gene expression test from pre-treatment tumor biopsies (310 patients) to predict favorable outcome based on estrogen receptor (ER) status,pathologic response to chemotherapy, 3-year disease outcomes, and sensitivity to endocrine therapy. Tumors were classified as treatment-sensitive if predicted to have pathologic response (and not resistance) to chemotherapy, or sensitive to endocrine therapy. We tested predictive accuracy, with 95% confidence interval (CI), for pathologic response (PPV, positive predictive value), distant relapse-free survival (DRFS), and absolute risk reduction at median follow-up in 198 other patients. Independence from clinical-pathologic factors was assessed in a multivariate Cox regression analysis based on the likelihood ratio test. Other evaluable, published response predictors (genomic grade index (GGI), intrinsic subtype (PAM50), pCR predictor (DLDA30)) were compared.",Neoadjuvant study of 310 HER2-negative breast cancer cases treated with taxane-anthracycline chemotherapy pre-operatively and endocrine therapy if ER-positive.  Response was assessed at the end of neoadjuvant treatment and distant-relapse-free survival was followed for at least 3 years post-surgery.,SubSeries of: GSE25066,310,GPL96,0
GSE4922,Genetic Reclassification of Histologic Grade Delineates New Clinical Subtypes of Breast Cancer,"Histological grading of breast cancer defines morphological subtypes informative of metastatic potential, although not without considerable inter-observer disagreement and clinical heterogeneity particularly among the moderately differentiated grade II (G2) tumors. We posited that a gene expression signature capable of discerning tumors of grade I (G1) and grade III (G3) histology might provide a more objective measure of grade with prognostic benefit for patients with moderately differentiated disease. To this end, we studied the expression profiles of 347 primary invasive breast tumors analyzed on Affymetrix microarrays. Using class prediction algorithms, we identified 264 robust grade-associated markers, six of which could accurately classify G1 and G3 tumors, and separate G2 tumors into two highly discriminant classes (termed G2a and G2b genetic grades) with patient survival outcomes highly similar to those with G1 and G3 histology, respectively. Statistical analysis of conventional clinical variables further distinguished G2a and G2b subtypes from each other, but also from histologic G1 and G3 tumors. In multivariate analyses, genetic grade was consistently found to be an independent prognostic indicator of disease recurrence comparable to that of lymph node status and tumor size. When incorporated into the Nottingham Prognostic Index, genetic grade enhanced detection of patients with less harmful tumors, likely to benefit little from adjuvant therapy. Our findings show that a genetic grade signature can improve prognosis and therapeutic planning for breast cancer patients, and support the view that low and high grade disease, as defined genetically, reflect independent pathobiological entities rather than a continuum of cancer progression. Three separate breast cancer cohorts were analyzed: 1) Uppsala (n=249), 2) Stockholm (n=58), 3) Singapore (n=40). The Uppsala and Singapore data can be accessed here. The Stockholm cohort data can be accessed at GEO Series GSE1456.
Keywords: Tumor sample comparisons",All tumor specimens were assessed on U133 A and B arrays.,,578,"GPL96
GPL97",0
GSE4475,A Biologic Definition of Burkitt's Lymphoma from Transcriptional and Genomic Profiling,"The distinction between the Burkitt lymphoma and diffuse large B-cell lymphoma is imprecise using current diagnostic criteria. We applied transcriptional and genomic profiling to molecularly define Burkitt lymphoma. Gene expression profiling employing Affymetrix GeneChips (U133A) was performed in 220 mature aggressive B-cell lymphomas, including a core group of eight Burkitt lymphomas, which fulfilled all diagnostic criteria of the WHO classification. A molecular signature of Burkitt lymphoma was generated. Chromosomal abnormalities were detected by interphase fluorescence in-situ hybridization and array comparative genomic hybridization. The molecular Burkitt lymphoma signature identified 44 cases. Fifteen of these cases lacked a morphology typical for Burkitt/Burkitt-like lymphoma. The vast majority (88%) of the 176 lymphomas without the molecular Burkitt lymphoma signature represented diffuse large B-cell lymphomas. In 20% of these cases a MYC break was detectable which was associated with complex chromosomal changes. Our molecular definition of Burkitt lymphoma sharpens and extends the spectrum of Burkitt lymphoma. In mature aggressive B-cell lymphomas without a Burkitt lymphoma signature, a chromosomal break in the MYC locus proved to be associated with adverse clinical outcome.
Keywords: Gene expression",220 diffuse large B-cell lymphoma and Burkitt lymphoma samples hybridized to 221 HGU133A Affymetrix GeneChips,,221,GPL96,0
GSE25065,Validation cohort for genomic predictor of response and survival following neoadjuvant taxane-anthracycline chemotherapy in breast cancer,"PURPOSE: To develop a predictive test for response and survival following neoadjuvant taxane-anthracycline chemotherapy for HER2-negative invasive breast cancer.
METHODS: We developed a microarray-based gene expression test from pre-treatment tumor biopsies (310 patients) to predict favorable outcome based on estrogen receptor (ER) status,pathologic response to chemotherapy, 3-year disease outcomes, and sensitivity to endocrine therapy. Tumors were classified as treatment-sensitive if predicted to have pathologic response (and not resistance) to chemotherapy, or sensitive to endocrine therapy. We tested predictive accuracy, with 95% confidence interval (CI), for pathologic response (PPV, positive predictive value), distant relapse-free survival (DRFS), and absolute risk reduction at median follow-up in 198 other patients. Independence from clinical-pathologic factors was assessed in a multivariate Cox regression analysis based on the likelihood ratio test. Other evaluable, published response predictors (genomic grade index (GGI), intrinsic subtype (PAM50), pCR predictor (DLDA30)) were compared.",Neoadjuvant validation cohort of 198 HER2-negative breast cancer cases treated with taxane-anthracycline chemotherapy pre-operatively and endocrine therapy if ER-positive.  Response was assessed at the end of neoadjuvant treatment and distant-relapse-free survival was followed for at least 3 years post-surgery.,SubSeries of: GSE25066,198,GPL96,0
GSE20271,Expression data from breast cancer FNA biopsies from patients,"The behavior of breast cancers and their response to different chemotherapy treatments depend on their phenotype which is to a large extent determined by gene expression programs within the cancer cell.
We used gene expression values from 30 probes on affymetrix U133A chips to calculate a score that would predict if a breast cancer is likely to achieve pathological complete response to chemotherapy consisting of T/FAC.",Pre-treatment FNA from primary tumors or axillary lymph node metastases were obtained and RNA extracted and hybridized to afymetrix microarrays according to manufacturer protocol.,,178,GPL96,0
GSE33072,An epithelial-mesenchymal transition (EMT) gene signature predicts resistance to erlotinib and PI3K pathway inhibitors and identifies Axl as a novel EMT marker in non-small cell lung cancer.,"Epithelial/mesenchymal transition (EMT) is associated with loss of cell adhesion molecules, such as E-cadherin, and increased invasion, migration, and proliferation in epithelial cancers. In non-small cell lung cancer (NSCLC), EMT is associated with greater resistance to EGFR inhibitors. However, its potential to predict response to other targeted drugs or chemotherapy has not been well characterized. The goal of this study was to develop a robust, platform-independent EMT gene expression signature and to investigate the association of EMT and drug response in NSCLC.
A 76-gene EMT signature was derived in 54 DNA-fingerprinted NSCLC cell lines and tested in an independent set of cell lines and in NSCLC patients from the BATTLE clinical trial.  The signature classified cell lines as epithelial or mesenchymal independent of the microarray platform and correlated strongly with E-cadherin protein levels, as measured by reverse phase protein array.  Higher protein expression of Rab25 (in epithelial lines) and Axl (in mesenchymal lines), two signature genes associated with in EMT in other cancer types, was also confirmed. Mesenchymal cell lines demonstrated significantly greater resistance to EGFR inhibition, independent of EGFR mutation status and were more resistant to drugs targeting the PI3K/Akt pathway. We observed no association between EMT and response to cytotoxic chemotherapies, including cisplatin, pemetrexed, and docetaxel monotherapy and/or doublets (p-values ≥0.2).  In NSCLC patients, the EMT signature predicted 8-week disease control in the erlotinib arm, but not in other treatment arms.  In conclusion, we have developed a robust EMT signature that predicts resistance to EGFR inhibitors and PI3K/Akt pathway inhibitors.",Gene expression profiles were measured in 131 core biopsies from patients with refractory non-small cell lung cancer in the  Biomarker-integrated Approaches of Targeted Therapy for Lung Cancer Elimination (BATTLE) trial. We used the BATTLE dataset to test an EMT gene expression signature trained in cell lines and independant of the microarray platform.,,131,GPL6244,0
GSE71258,Identification of genes associated with breast cancer micrometastatic disease in bone marrow disseminated tumor cells (DTCs),"In this study, we assess the effect of zoledronic acid on clearance of disseminated tumour cells (DTCs) from the bone marrow in women undergoing neoadjuvant chemotherapy for breast cancer","In this dataset, Primary breast tissue from stage II or III breast cancer patients were included in the analysis. This study allowed the identification of novel gene expression patterns associated with the presence of DTCs BM by IHC and supports the concept of epithelial to mesenchymal transition transition  (EMT) of DTCs present in the BM .",,128,GPL570,0
GSE31852,An EGFR-mutation signature reveals features of the EGFR-dependent phenotype and identifies MACC1 as an EGFR-associated regulator of MET.,"EGFR-mutated non-small cell lung cancers bear hallmarks including sensitivity to EGFR inhibitors,  and low proliferation, and increased MET.  However, the biology of EGFR dependence is still poorly understood. Using a training cohort of chemo-naive lung adenocarcinomas, we have developed a 72-gene signature that predicts (i) EGFR mutation status in four independent datasets; (ii) sensitivity to erlotinib in vitro; and (iii) improved survival, even in the wild-type EGFR subgroup. The signature includes differences associated with enhanced receptor tyrosine kinase (RTK) signaling, such as increased expression of endocytosis-related genes, decreased phosphatase levels, decreased expression of proliferation-related genes, increased folate receptor-1 (FOLR1) (a determinant of pemetrexed response), and higher levels of MACC1 (which we identify as a regulator of MET in EGFR-mutant NSCLC).  Those observations provide evidence that the EGFR-mutant phenotype is associated with alterations in the cellular machinery that links the EGFR and MET pathways and create a permissive environment for RTK signaling.
We have developed a gene expression signature that predicts (i) EGFR mutation in chemo-naive and, to a lesser extent, in chemo-refractory NSCLC patients; (ii) EGFR TKI response in vitro; and (iii) survival in wild-type EGFR patients. The signature also identifies novel features of EGFR mutant NSCLC including increased levels of endocytosis-related genes and MACC1, which appears be an EGFR mutant associated regulator of MET.","Gene expression profiles were measured in 124 core biopsies from patients with refractory non-small cell lung cancer in the  Biomarker-integrated Approaches of Targeted Therapy for Lung Cancer Elimination (BATTLE) trial. We used the BATTLE dataset to test an EGFR-mutation gene expression signature trained in chemo-naive lung adenocarcinoma. The signature was computed as an index, called EGFR index.",,124,GPL6244,0
GSE2603,Subpopulations of MDA-MB-231 and Primary Breast Cancers,"Subpopulations of MDA-MB-231 that exhibit different metastatic tropisms when injected into immuno-deficient mice.  Also, a cohort of primary breast cancers surgically resected at the Memorial Sloan-Kettering Cancer Center (MSKCC).
Keywords = Breast cancer
Keywords = lung metastasis
Keywords: parallel sample",,,121,GPL96,0
GSE16446,Multifactorial Approach to Predicting Resistance to Anthracyclines,"PURPOSE: Validated biomarkers predictive of response/resistance to anthracyclines in breast cancer are currently lacking. The neoadjuvant TOP trial, in which patients with estrogen receptor (ER)-negative tumors were treated with anthracycline (epirubicin) monotherapy, was specifically designed to evaluate the predictive value of topoisomerase IIα (TOP2A) and to develop a gene expression signature to identify those patients who do not benefit from anthracyclines.  

METHODS: The TOP trial included 149 patients, of which 141 were evaluable for response prediction analyses. The primary endpoint was pathological complete response (pCR). TOP2A and gene expression profiles were evaluated using pre-epirubicin biopsies. Gene expression data from ER-negative samples of the EORTC 10994/BIG 00-01 and MDACC 2003-0321 neoadjuvant trials were used for validation purposes.

RESULTS: A pCR was obtained in 14% of the evaluable TOP patients. TOP2A amplification, but not protein overexpression, was significantly associated with pCR (p=0.001 and 0.22). We developed an “anthracycline-based score (A-Score)” that combines three signatures: a TOP2A gene signature and two previously published signatures related to tumor invasion and immune response. The A-Score was characterized by a high negative predictive value (NPV=0.98 [95% CI: 0.90-1.00]) overall, and in the HER2-negative and HER2-positive subpopulations. Its performance was independently confirmed in the anthracycline-based (FAC/FEC) arms of the two validation trials (BIG 00-01: 0.80 [0.61-0.92] and MDACC 2003-0321: 1.00 [0.80-1.00]).

CONCLUSION: Given its high NPV, the A-Score could become, if further validated, a useful clinical tool to identify those patients who do not benefit from anthracyclines and could therefore be spared the non-negligible side effects.","Predicting the efficacy of anthracyclines (epirubicin) in breast cancer (BC) patients (TOP trial)

120 microarray experiments from primary ER-negative breast tumors of anthracycline-treated patients.

No replicate, no reference sample.",,120,GPL570,0
GSE68871,"Expression data from BM-CD138+, obtained from newly diagnosed Multiple Myeloma patients [response to VTD therapy]","The prime focus of the current therapeutic strategy for Multiple Myeloma (MM) is an early and deep tumour burden reduction; this characterizes and defines the complete response (CR). To date, no description of the characteristics of the plasma cells (PC) prone to achieve CR has been reported. This study aimed at the molecular characterization of PC derived from MM patients who achieved CR after bortezomib-thalidomide-dexamethasone (VTD) first line therapy.
One hundred and eighteen MM primary tumours obtained from homogeneously treated patients were globally profiled both for gene expression and for single nucleotide polymorphism genotype. Genomic results were used to obtain a predictor of sensitivity to VTD induction therapy, as well as to describe both the transcription and the genomic profile of PC derived from patients with MM who will respond optimally to primary induction therapy.
By analysing the gene profiles of CR patients, we identified a 5-gene signature predicting CR with an overall median accuracy of 75% (range: 72%-85%). In addition, we highlighted the differential expression of a series of genes, whose deregulation, accordingly to their reported functions, might explain the CR patients’ sensitivity to VTD therapy. We also showed that a small copy number loss, covering 606Kb on chromosome 1p22.1 was the most significantly associated with CR patients.
The study provides insights into the genomic landscape of PC obtained from newly diagnosed MM patients achieving CR after VTD and shows that patients might be accurately stratified according to their sensitivity to VTD.","118 samples have been analyzed; the homogeneity of samples has been ensured by the immunomagnetic enrichment procedure: only >90% pure CD138+ cells have been employed.

Response to vtd therapy (provided in each sample record);
CR: complete response
nCR: near complete response
VGPR: Very good partial response
PR: partial response
SD: Stable disease",SubSeries of: GSE69029,118,GPL570,0
GSE32646,GSTP1 expression predicts poor pathological complete response to neoadjuvant chemotherapy in ER-negative breast cancer,"The purpose of the present study was to investigate the association of glutathione S-transferase P1 (GSTP1) expression with resistance to neoadjuvant paclitaxel followed by 5-fluorouracil/epirubicin/cyclophosphamide (P-FEC) in human breast cancers. The relationship of GSTP1 expression and GSTP1 promoter hypermethylation with intrinsic subtypes was also investigated. In this study, primary breast cancer patients (n = 123, stage II-III) treated with neoadjuvant P-FEC were analyzed. Tumor samples were obtained by vacuum-assisted core biopsy before P-FEC. GSTP1 expression was determined using immunohistochemistry, GSTP1 promoter methylation index (MI) using bisulfite methylation assay and intrinsic subtypes using DNA microarray. The pathological complete response (pCR) rate was significantly higher in GSTP1-negative tumors (80.0%) than GSTP1-positive tumors (30.6%) (P = 0.009) among estrogen receptor (ER)-negative tumors but not among ER-positive tumors (P = 0.267). Multivariate analysis showed that GSTP1 was the only predictive factor for pCR (P = 0.013) among ER-negative tumors. Luminal A, luminal B and HER2-enriched tumors showed a significantly lower GSTP1 positivity than basal-like tumors (P = 0.002, P < 0.001 and P = 0.009, respectively), while luminal A, luminal B and HER2-enriched tumors showed a higher GSTP1 MI than basal-like tumors (P = 0.076, P < 0.001 and P < 0.001, respectively). In conclusion, these results suggest the possibility that GSTP1 expression can predict pathological response to P-FEC in ER-negative tumors but not in ER-positive tumors. Additionally, GSTP1 promoter hypermethylation might be implicated more importantly in the pathogenesis of luminal A, luminal B and HER2-enriched tumors than basal-like tumors.",Fresh frozen tumor samples obtained by vacuum-assisted core biopsy from one hundred and fifteen patients were subjected to RNA extraction and hybridization on Affymetrix microarrays.,,115,GPL570,0
GSE37751,Molecular Profiles of Human Breast Cancer and Their Association with Tumor Subtypes and Disease Prognosis (Affymetrix),"This study identified DNA methylation patterns that were associated with tumor subtypes, disease outcome, and distinct metabolome and gene expression patterns.","This study performed a large scale DNA methylation (Illumina HumanMethylation450 BeadChip [HumanMethylation450 15017482 v.1.1], N=73), gene expression (Affymetrix Human Gene 1.0 ST Array [HuGene-1_0-st], N=108), and metabolome (Metabolon, Inc. Durham, NC) analysis of fresh-frozen human breast tumors from African-American and European-American patients from the greater Baltimore area, Maryland (US), with survival follow-up.",SubSeries of: GSE39004,108,GPL6244,0
GSE22762,An eight-gene expression signature for the prediction of survival and time to treatment in chronic lymphocytic leukemia,"Chronic lymphocytic leukemia (CLL) is a common and heterogeneous disease. An accurate prediction of outcome is highly relevant for the development of personalized treatment strategies. Microarray technology was shown to be a useful tool for the development of prognostic gene expression scores. However, there are no gene expression scores which are able to predict overall survival in CLL based on the expression of few genes that are better than established prognostic markers. We correlated 151 CLL microarray data sets with overall survival using Cox regression and supervised principal component analysis to derive a prognostic score. This score based on the expression levels of eight genes and was validated in an independent group of 149 CLL patients by quantitative real time PCR. The score was predictive for overall survival and time to treatment in univariate Cox regression in the validation data set (both: p<0.001) and in a multivariate analysis after adjustment for 17p and 11q deletions and the IgVH-status. The score achieved superior prognostic accuracy compared to models based on genomic aberrations and IgVH-status and may support personalized therapy.",Analysis of 151 samples of peripheral blood mononuclear cells (107 HGU-133plus2; 44 HGU-133A; 44 HGU-133B) from adult patients with chronic lymphocytic leukemia (CLL),,195,"GPL96
GPL97
GPL570",0
GSE22093,Expression data from breast cancer FNA biopsies from patients,"We assess if distinct biological processes might be associated with chemotherapy sensitivity in the different clinical subsets of breast cancers.
We performed gene set analysis (GSA) using functionally annotated gene sets corresponding to almost all known biological processes in ER-positive/HER2negative and ER-negative/HER2-negative breast cancer, respectively.",Pre-treatment FNA from primary tumors were obtained and RNA extracted and hybridized to afymetrix microarrays according to manufacturer protocol.,,103,GPL96,0
GSE42822,Expression data from breast cancer FNA biopsies from patients ( (USO samples),Tumor samples were obtained from patients with stage II-III breast cancer before starting neoadjuvant chemotherapy with four cycles of 5-fluorouracil/epirubicin/cyclophosphamide (FEC) followed by four cycles of docetaxel/capecitabine (TX) on US Oncology clinical trial 02-103. Most patients with HER-2-positive cancer also received trastuzumab (H).,Pre-treatment FNA from primary tumors were obtained and RNA extracted and hybridized to affymetrix microarrays according to manufacturer protocol.,,91,GPL96,0
GSE66305,Prospective biomarker analysis of the randomized CHER-LOB study evaluating the dual anti-HER2 treatment with chemotherapy plus trastuzumab and lapatinib as neoadjuvant therapy for HER2-positive breast cancer [expression],"The CHER-LOB randomized phase II study showed that the combination of lapatinib and trastuzumab plus chemotherapy increases the pathologic complete remission (pCR) rate as compared to chemotherapy plus either trastuzumab or lapatinib. An extensive biomarker programme was prospectively planned to identify potential predictors of sensitivity to different treatments and evaluate treatment effect on tumor biomarkers.
A mutation in PIK3CA exon 20 or 9 was documented in 20% of the cases. Overall, the pCR rates were similar in PIK3CA wild type and PIK3CA mutated patients (33.3% vs 22.7%; p=0.323). However, for patients receiving trastuzumab plus lapatinib, the probability of pCR was higher in PIK3CA wild type tumors (48.4% vs 12.5%; p=0.06). Ki67, pAKT and apoptosis measured on the residual disease were significantly reduced from baseline. The degree of Ki67 inhibition was significantly higher in patients receiving the dual anti-HER2 blockade. In conclusion, PIK3CA mutations seem to identify patients less likely to benefit from dual anti-HER2 inhibition. p95-HER2 and markers of PI3K pathway deregulation are not confirmed as markers of different sensitivity to trastuzumab or lapatinib.","121 HER2-positive breast cancer patients were randomly assigned to neoadjuvant chemotherapy plus either trastuzumab, lapatinib or both trastuzumab and lapatinib. Pre-treatment, fresh-frozen tissue samples were collected for genomic analyses. 88 samples passed quality control for RNA and were profiled with Affymetrix technology using the HG-U133 Plus 2.0 GeneChip array.",SubSeries of: GSE66399,88,GPL570,0
GSE39925,Transcriptional characterization of a prospective series of primary plasma cell leukemia revealed genes associated with tumor progression and poorest outcome,"Plasma cell leukemia (PCL) is a rare form of plasma cell dyscrasia that presents either as a progression of previously diagnosed multiple myeloma (MM), namely secondary PCL (sPCL), or as the initial manifestation of disease, namely primary PCL (pPCL). Although presenting signs and symptoms include those seen in MM, pPCL is characterized by several aspects that clearly define more aggressive course. To provide insights into the biology of pPCL, we have investigated the transcriptional profiles of a cohort of 21 newly-diagnosed, homogeneously treated pPCL patients included in a multicenter prospective clinical trial. All but one pPCL had one of the main IGH translocations, whose associated transcriptional signatures resembled those observed in MM. A 503-gene signature was identified that distinguished pPCL from MM, from which emerged 28 genes whose trend in expression levels was found associated with the progressive stages of plasma cell dyscrasia in a large dataset of cases from multiple institutions, including samples from normal donors throughout PCL. The transcriptional pattern of the pPCL series was then evaluated in association with outcome. Three genes were identified having expression levels correlated with response to the first-line treatment with lenalidomide/dexamethasone, whereas a 27-gene signature was identified associated with overall survival independently of molecular alterations, hematological parameters and renal function. Overall, our data contribute to a fine dissection of pPCL and may provide novel insights into the molecular definition of a subgroup of high-risk pPCL.","This series of microarray experiments contains the gene expression profiles of purified plasma cells (PCs) obtained from 21 pPCL and 55 MM at diagnosis. PCs were purified from bone marrow samples using CD138 immunomagnetic microbeads according to the manufacturer's instructions (MidiMACS system, Miltenyi Biotec); the purity of the positively selected PCs was assessed by morphology and flow cytometry and was > 90% in all cases. 5.5 micrograms of single-stranded DNA target obtained from 100 ng of purified total RNA was fragmented and then labeled using the WT Terminal Labeling Kit according to the standard Affymetrix protocol (GeneChip¨ Whole Transcript (WT) Sense Target Labeling Assay Manual). The fragmented labeled single-stranded DNA target was hybridized for 16 hours and 30 minutes at 45¡C on GeneChip¨ Gene 1.0 ST array according to the standard Affymetrix protocol. Washing and scanning were performed using GeneChip System of Affymetrix (GeneChip Hybridization Oven 640, GeneChip Fluidics Station 450 and GeneChip Scanner 7G). Log2-transformed expression values were extracted from CEL files and normalized using NetAffx Transcript Cluster Annotations, Release 31 and robust multi-array average (RMA) procedure in Expression Console software (Affymetrix Inc.). Non-annotated transcript clusters were discarded. The expression values of transcript cluster ID specific for loci representing naturally occurring read-through transcriptions or mapped to more than one chromosomal location were summarized as median value for each sample.
gene expression analysis of 21 primary Plasma Cell Leukemia and 55 multiple myeloma tumors",,76,GPL6244,0
GSE32518,Expression data from paired matched breast cancer Fine needle aspiration (FNA) or Core needle biopsies (CBX),"Paired FNA and CBX specimens were prospectively collected from 37 breast cancers before any systemic therapy during a biomarker discovery study at The University of Texas M. D. Anderson Cancer Center.
We identified 293 probe sets overexpressed in core biopsies; these included five highly  coexpressed gene clusters (metagenes) corresponding to immune functions and extracellular  matrix components.
We compared gene expression profiles of pairs of fine-needle (stroma-poor) and core-needle (stroma-rich) biopsies from 37 cancers to identify stroma-associated genes",Pre-treatment paird matched FNA and CBX from primary tumors were obtained and RNA extracted and hybridized to afymetrix microarrays according to manufacturer protocol.,,74,GPL96,0
GSE72968,Molecular subtypes of metastatic colorectal cancer are predictive of patient response to chemo and targeted therapies (part 1),"We report that previously described molecular subtypes of colorectal cancer are associated with the response to therapy in patients with metastatic disease. We also identified a patient population with high FOLFIRI sensitivity, as indicated by their 2.7-fold longer overall survival when treated with FOLFIRI, as first-line regimen, instead of FOLFOX. Our results demonstrate the interest of molecular classifications to develop tailored therapies for patients with metastatic colorectal cancer.","The COSIVAL cohort was a retrospective multicenter study involving 6 French hospitals (CHU Trousseau - Tours, Hôpital Purpan - Toulouse, Hôpital Central - Nancy, Hôpital Dupuytren - Limoges, Hôpital Ambroise Paré – Boulogne Billancourt, Hopital de Lille ) and 2 comprehensive Cancer Centers (ICM, Montpellier; Institut Bergonié, Bordeaux)  and contained 68 patients",SubSeries of: GSE72970,68,GPL570,0
